SnappedTime,Avg Right X,Avg Right Y,Avg Left X,Avg Left Y
0.0,105.8102,435.093,52.9051,217.5465
20.0,492.54845,417.72384999999997,58.69585,212.41955
40.0,378.79995,428.0113,55.9873,198.4315
60.0,375.72745,454.44525,56.70415,213.8252
80.0,368.75195,448.58820000000003,51.68815,214.3579
100.0,338.23315,454.65945,22.7445,209.991
120.0,320.59685,230.83105,6.3459,0.0
140.0,259.30199999999996,452.10675000000003,-55.9603,208.50765
160.0,318.3659,242.7873,3.9089,0.0
180.0,262.3746,431.99120000000005,-51.3471,191.78665
200.0,262.81419999999997,422.3308,-51.307,178.9875
220.0,261.57890000000003,422.47635,-51.61195,181.13495
240.0,262.02700000000004,428.68825000000004,-51.6079,187.85165
260.0,267.48185,455.77914999999996,-45.43975,216.53085
280.0,278.4362,457.04404999999997,-34.5414,219.38025
300.0,441.95465,446.64465,129.02315,210.57265
320.0,516.344,440.04665,203.1029,204.66975
340.0,523.6627,426.73585,209.86655,190.41855
360.0,523.01055,423.9917,209.9279,188.76215
380.0,468.9669,397.25625,212.57855,204.02055
400.0,457.3437,405.47925,214.17455,209.4989
420.0,450.09475,397.7693,212.92775,209.469
440.0,450.53095,392.8411,214.8375,199.3286
460.0,452.38805,401.66665,214.8619,210.1718
480.0,449.0701,393.43665,215.33755,207.91125
500.0,451.87694999999997,383.50919999999996,216.31975,196.43005
520.0,449.89515,391.00335,215.56645,199.8129
540.0,448.04560000000004,401.13,214.50455,209.36905
560.0,449.13855,393.26715,214.32465,198.4306
580.0,452.3039,371.3635,217.46695,177.4023
600.0,452.615,387.1936,218.9682,195.10605
620.0,448.7626,377.6601,216.4723,185.8657
640.0,447.09114999999997,376.97339999999997,216.13835,182.7561
660.0,447.44885,371.16999999999996,215.29465,175.76215
680.0,444.28184999999996,378.77855,213.2005,179.70715
700.0,445.3691,375.0738,213.604,173.32445
720.0,447.0775,382.7901,216.2155,184.63275
740.0,554.6199,368.00065,219.2957,178.76165
760.0,624.8244500000001,377.8119,221.7015,181.8216
780.0,635.94845,365.10315,224.5636,181.94635
800.0,636.71435,346.2396,222.44715,181.64275
820.0,634.46595,363.29425000000003,217.94255,180.47135
840.0,630.02745,369.46410000000003,213.8675,178.3049
860.0,630.16785,365.48005,214.06025,178.641
880.0,624.8671,362.86375,213.3067,179.2041
900.0,627.7951,362.7904,213.05635,180.88495
920.0,626.88815,363.72850000000005,213.32795,179.9036
940.0,684.94595,336.11345,270.86265,159.71315
960.0,770.55225,357.5966,357.9451,182.2821
980.0,783.16365,359.26725,368.913,182.90915
1000.0,803.05695,357.0815,387.0529,180.8377
1020.0,803.4464,360.99014999999997,390.9438,179.6655
1040.0,802.9602,360.00085,391.358,178.2424
1060.0,799.4152,358.1413,387.27685,183.16535
1080.0,782.9271,381.45169999999996,385.64795,177.40275
1100.0,730.02905,452.09720000000004,389.53985,179.83235
1120.0,722.50955,450.38215,390.15375,179.3169
1140.0,726.25365,444.67295,393.9218,177.0814
1160.0,722.6935,440.29325,390.61195,175.6836
1180.0,723.93835,444.51784999999995,391.6372,177.03405
