SnappedTime,Avg Right X,Avg Right Y,Avg Left X,Avg Left Y
0.0,,,0.0,0.0
20.0,790.6966,334.4289,0.0,0.0
40.0,791.5325,360.8696,0.0,0.0
60.0,793.2868,367.4237,0.0,0.0
80.0,794.3094,373.1371,0.0,0.0
100.0,794.8921,377.487,0.0,0.0
120.0,797.1435,386.2933,0.0,0.0
140.0,797.4834,387.7361,0.0,0.0
160.0,796.6661,383.0191,0.0,0.0
180.0,799.3214,381.5345,0.0,0.0
200.0,803.223,383.0822,0.0,0.0
220.0,671.0732,403.2355,0.0,0.0
240.0,656.17,472.6274,0.0,0.0
260.0,653.7058,486.9987,0.0,0.0
280.0,648.7733,498.7854,0.0,0.0
300.0,643.1215,504.558,0.0,0.0
320.0,632.4421,506.0746,0.0,0.0
340.0,639.4823,504.2861,0.0,0.0
360.0,637.4563,505.5382,0.0,0.0
380.0,639.3434,505.4626,0.0,0.0
400.0,632.647,506.6705,0.0,0.0
420.0,633.4439,509.3542,0.0,0.0
440.0,634.6274,503.9909,0.0,0.0
460.0,634.3515,506.1841,0.0,0.0
480.0,633.3907,502.791,0.0,0.0
500.0,631.2317,507.0774,0.0,0.0
520.0,626.7705,513.1633,0.0,0.0
540.0,631.4539,517.0233,0.0,0.0
560.0,627.0515,497.848,0.0,0.0
580.0,626.3996,500.513,0.0,0.0
600.0,625.7189,499.2949,0.0,0.0
620.0,627.6111,492.2375,0.0,0.0
640.0,626.5814,490.2512,0.0,0.0
660.0,624.6042,496.4334,0.0,0.0
680.0,624.1805,508.6587,0.0,0.0
700.0,621.1766,500.3687,0.0,0.0
720.0,623.8897,497.4302,0.0,0.0
740.0,624.8432,498.8366,0.0,0.0
760.0,623.6181,496.441,0.0,0.0
780.0,627.1661,482.7834,0.0,0.0
800.0,624.2854,486.7032,0.0,0.0
820.0,626.7373,492.1795,0.0,0.0
840.0,625.2539,491.7204,0.0,0.0
860.0,626.6464,488.1752,0.0,0.0
880.0,629.1755,498.5235,0.0,0.0
900.0,630.4663,486.5431,0.0,0.0
920.0,633.7406,488.5,0.0,0.0
940.0,628.5366,490.0867,0.0,0.0
960.0,629.047,492.0276,0.0,0.0
980.0,630.8063,489.7234,0.0,0.0
1000.0,628.9333,489.8021,0.0,0.0
1020.0,628.6632,498.9122,0.0,0.0
1040.0,630.9744,493.6265,0.0,0.0
1060.0,631.0931,495.7717,0.0,0.0
1080.0,632.9092,498.6472,0.0,0.0
1100.0,629.7138,493.5691,0.0,0.0
1120.0,627.2959,491.7978,0.0,0.0
1140.0,630.1053,488.6635,0.0,0.0
1160.0,630.5917,492.8925,0.0,0.0
1180.0,632.461,491.2259,0.0,0.0
1200.0,633.861,488.1506,0.0,0.0
1220.0,636.9704,485.4846,0.0,0.0
1240.0,637.8451,483.2362,0.0,0.0
1260.0,636.6356,496.3001,0.0,0.0
1280.0,636.755,487.9817,0.0,0.0
1300.0,638.074,492.2262,0.0,0.0
1320.0,638.4892,497.435,0.0,0.0
1340.0,641.0915,500.4397,0.0,0.0
1360.0,638.8207,511.2027,0.0,0.0
1380.0,638.0312,491.4004,0.0,0.0
1400.0,638.1128,506.1649,0.0,0.0
1420.0,637.8476,484.0154,0.0,0.0
1440.0,639.0931,473.0704,0.0,0.0
1460.0,635.0915,497.161,0.0,0.0
1480.0,634.793,496.266,0.0,0.0
1500.0,637.3903,500.1586,0.0,0.0
1520.0,636.0841,503.3168,0.0,0.0
1540.0,633.2292,489.8556,0.0,0.0
1560.0,632.1513,484.8387,0.0,0.0
1580.0,634.6219,481.0922,0.0,0.0
1600.0,638.696,465.1599,0.0,0.0
1620.0,637.5009,478.0896,0.0,0.0
1640.0,637.9858,488.6794,0.0,0.0
1660.0,636.6134,493.5829,0.0,0.0
1680.0,637.8016,492.7952,0.0,0.0
1700.0,636.3238,498.8188,0.0,0.0
1720.0,635.1924,501.8727,0.0,0.0
1740.0,635.8952,499.5468,0.0,0.0
1760.0,637.6904,494.1836,0.0,0.0
1780.0,639.3248,501.7654,0.0,0.0
1800.0,638.8716,498.3333,0.0,0.0
1820.0,639.5511,498.7769,0.0,0.0
1840.0,624.774,465.73,0.0,0.0
1860.0,623.029,442.6739,0.0,0.0
1880.0,622.3176,441.2035,0.0,0.0
1900.0,609.2602,436.732,0.0,0.0
1920.0,602.0811,449.819,0.0,0.0
1940.0,599.4473,445.8163,0.0,0.0
1960.0,596.2374,443.4204,0.0,0.0
1980.0,586.6989,433.2744,0.0,0.0
2000.0,586.5872,434.2643,0.0,0.0
2020.0,587.258,431.6885,0.0,0.0
2040.0,586.6459,434.5922,0.0,0.0
2060.0,587.8352,434.2543,0.0,0.0
2080.0,586.7571,434.193,0.0,0.0
2100.0,583.8342,438.0119,0.0,0.0
2120.0,582.8924,437.5953,0.0,0.0
2140.0,582.9902,439.0083,0.0,0.0
2160.0,583.0562,436.7414,0.0,0.0
2180.0,584.2644,434.6546,0.0,0.0
2200.0,582.1181,443.6266,0.0,0.0
2220.0,580.3988,438.3135,0.0,0.0
2240.0,581.1768,439.9488,0.0,0.0
2260.0,577.8099,443.4693,0.0,0.0
2280.0,575.0814,437.6418,0.0,0.0
2300.0,578.3102,438.6605,0.0,0.0
2320.0,580.4558,434.6565,0.0,0.0
2340.0,577.4838,433.5361,0.0,0.0
2360.0,579.7796,438.6637,0.0,0.0
2380.0,582.1927,547.331,0.0,0.0
2400.0,580.1587,549.2703,0.0,0.0
2420.0,584.3112,544.8715,0.0,0.0
2440.0,588.6163,549.8972,0.0,0.0
2460.0,588.4388,550.9151,0.0,0.0
2480.0,590.536,548.2695,0.0,0.0
2500.0,593.4731,549.4087,0.0,0.0
2520.0,595.8574,549.4508,0.0,0.0
2540.0,596.3171,549.6977,0.0,0.0
2560.0,598.7164,547.5682,0.0,0.0
2580.0,598.647,546.8934,0.0,0.0
2600.0,598.1109,547.8828,0.0,0.0
2620.0,598.4616,543.5151,0.0,0.0
2640.0,596.6354,545.2465,0.0,0.0
2660.0,594.8482,541.5725,0.0,0.0
2680.0,597.7153,543.3348,0.0,0.0
2700.0,599.0515,549.4683,0.0,0.0
2720.0,596.9016,541.508,0.0,0.0
2740.0,595.097,531.3138,0.0,0.0
2760.0,591.9973,540.343,0.0,0.0
2780.0,592.7034,539.0928,0.0,0.0
2800.0,594.7894,543.4724,0.0,0.0
2820.0,597.2156,533.8002,0.0,0.0
2840.0,596.4864,446.4361,0.0,0.0
2860.0,603.6752,435.2491,0.0,0.0
2880.0,605.8005,438.6353,0.0,0.0
2900.0,604.5409,437.9626,0.0,0.0
2920.0,605.9972,439.404,0.0,0.0
2940.0,606.514,435.6153,0.0,0.0
2960.0,607.5892,435.0383,0.0,0.0
2980.0,608.4854,433.4604,0.0,0.0
3000.0,610.3602,431.3337,0.0,0.0
3020.0,608.4965,433.8273,0.0,0.0
3040.0,610.3799,430.1001,0.0,0.0
3060.0,610.2591,431.4454,0.0,0.0
3080.0,608.2343,437.2743,0.0,0.0
3100.0,608.3559,434.7257,0.0,0.0
3120.0,609.1647,423.545,0.0,0.0
3140.0,613.4423,405.1595,0.0,0.0
3160.0,619.8998,409.0667,0.0,0.0
3180.0,622.9592,399.0243,0.0,0.0
3200.0,628.9288,404.8575,0.0,0.0
3220.0,639.4992,403.3548,0.0,0.0
3240.0,642.0564,388.4007,0.0,0.0
3260.0,643.6727,391.0103,0.0,0.0
3280.0,649.583,402.9727,0.0,0.0
3300.0,652.2751,386.5622,0.0,0.0
3320.0,653.5556,385.6998,0.0,0.0
3340.0,654.993,396.8658,0.0,0.0
3360.0,659.8613,397.1174,0.0,0.0
3380.0,675.4915,397.2446,0.0,0.0
3400.0,687.3853,394.7278,0.0,0.0
3420.0,669.398,378.9446,0.0,0.0
3440.0,680.9603,389.2168,0.0,0.0
3460.0,677.2841,391.7397,0.0,0.0
3480.0,691.2787,394.5616,0.0,0.0
3500.0,679.1396,372.9526,0.0,0.0
3520.0,676.0188,387.3086,0.0,0.0
3540.0,687.7794,397.8971,0.0,0.0
3560.0,692.7522,390.8446,0.0,0.0
3580.0,685.9216,378.2701,0.0,0.0
3600.0,683.8137,367.0912,0.0,0.0
3620.0,679.8096,397.9143,0.0,0.0
3640.0,686.0385,394.112,0.0,0.0
3660.0,687.641,390.8326,0.0,0.0
3680.0,664.5265,407.1076,0.0,0.0
3700.0,660.0088,404.3103,0.0,0.0
3720.0,651.6702,398.6473,0.0,0.0
3740.0,648.7055,387.8861,0.0,0.0
3760.0,647.3123,395.2029,0.0,0.0
3780.0,645.6075,396.9097,0.0,0.0
3800.0,644.9686,401.7864,0.0,0.0
3820.0,640.805,398.6788,0.0,0.0
3840.0,638.331,398.6597,0.0,0.0
3860.0,636.1564,397.0651,0.0,0.0
3880.0,637.9189,388.9867,0.0,0.0
3900.0,639.6169,388.978,0.0,0.0
3920.0,640.314,393.6065,0.0,0.0
3940.0,641.5508,396.5882,0.0,0.0
3960.0,643.2533,398.5731,0.0,0.0
3980.0,645.3766,398.6969,0.0,0.0
4000.0,645.4062,399.623,0.0,0.0
4020.0,644.7743,400.1501,0.0,0.0
4040.0,648.5893,386.2669,0.0,0.0
4060.0,649.4843,380.827,0.0,0.0
4080.0,651.6962,384.7476,0.0,0.0
4100.0,651.5986,395.1916,0.0,0.0
4120.0,651.3732,390.858,0.0,0.0
4140.0,649.9789,397.0062,0.0,0.0
4160.0,654.4013,383.1803,0.0,0.0
4180.0,651.4649,386.3069,0.0,0.0
4200.0,652.6679,384.7674,0.0,0.0
4220.0,651.6904,381.7323,0.0,0.0
4240.0,651.8222,382.592,0.0,0.0
4260.0,652.6972,383.3702,0.0,0.0
4280.0,643.4671,505.2595,0.0,0.0
4300.0,625.2104,515.1018,0.0,0.0
4320.0,618.7909,519.9601,0.0,0.0
4340.0,620.1566,520.6992,0.0,0.0
4360.0,617.9119,522.3996,0.0,0.0
4380.0,619.3367,525.3976,0.0,0.0
4400.0,614.5363,523.6199,0.0,0.0
4420.0,610.4912,525.4332,0.0,0.0
4440.0,609.1213,524.038,0.0,0.0
4460.0,607.4367,522.293,0.0,0.0
4480.0,603.5223,526.9575,0.0,0.0
4500.0,452.068,776.4052,0.0,0.0
4520.0,389.38,878.3652,0.0,0.0
4540.0,378.1528,873.8673,0.0,0.0
4560.0,380.1605,879.0739,0.0,0.0
4580.0,382.7329,879.3609,0.0,0.0
4600.0,377.5187,883.1955,0.0,0.0
4620.0,374.5343,881.618,0.0,0.0
