<<<<<<< HEAD
SnappedTime,Avg Right X,Avg Right Y,Avg Left X,Avg Left Y
0.0,,,,
20.0,987.4041,495.9701,,
40.0,991.4487,405.5813,,
60.0,1026.9261,411.0444,,
80.0,1039.4773,392.7704,,
100.0,1056.6212,390.8033,,
120.0,1042.2894,399.7971,,
140.0,1042.0179,397.9437,,
160.0,1030.1148,398.8628,,
180.0,1026.1658,400.086,,
200.0,1059.1255,395.6246,,
220.0,1060.7083,401.2386,,
240.0,1060.0404,398.2902,,
260.0,1065.1382,397.2769,,
280.0,1031.0316,406.5837,,
300.0,787.3918,519.1423,,
320.0,741.3848,523.7489,,
340.0,731.7256,520.9021,,
360.0,714.2063,520.5774,,
380.0,724.2304,520.8386,,
400.0,720.7789,520.859,,
420.0,715.5269,521.8727,,
440.0,720.8703,521.5854,,
460.0,648.2115,476.208,,
480.0,653.0404,485.1612,,
500.0,639.0122,487.2435,,
520.0,639.664,499.1038,,
540.0,635.9228,503.1702,,
560.0,632.6294,502.8214,,
580.0,630.9494,490.4753,,
600.0,630.3658,486.7188,,
620.0,631.0048,486.2017,,
640.0,618.8621,507.4158,,
660.0,-65.3794,920.7072,,
680.0,-5.5539,0.0,,
780.0,427.3487,534.2804,,
800.0,577.587,606.7965,,
820.0,581.9682,578.8003,,
840.0,588.2344,601.6049,,
960.0,615.7241,545.0035,,
980.0,623.3945,548.7843,,
1000.0,622.8615,557.1703,,
1020.0,620.5313,540.142,,
1040.0,620.5143,535.3572,,
1060.0,627.7172,536.7144,,
1080.0,629.0248,537.7302,,
1100.0,630.9709,538.3908,,
1120.0,627.4311,541.5283,,
1140.0,628.9275,539.8006,,
1160.0,628.8178,547.0872,,
1180.0,628.1464,543.3758,,
1200.0,631.2131,550.6687,,
1220.0,629.501,545.2279,,
1240.0,630.0997,534.688,,
1260.0,633.1145,534.3833,,
1280.0,631.2466,532.8568,,
1300.0,630.9429,522.8947,,
1320.0,630.0552,514.9773,,
1340.0,631.9398,505.6222,,
1360.0,627.8706,502.7823,,
1380.0,627.4022,516.6938,,
1400.0,627.6406,504.744,,
1420.0,626.4021,500.8751,,
1440.0,498.8609,679.3026,,
1460.0,294.283,921.3089,,
1480.0,171.5757,1109.6923,,
1500.0,167.9076,1106.0839,,
1520.0,160.2824,1107.3056,,
1540.0,153.2227,1097.8701,,
1560.0,156.1419,1097.1886,,
1580.0,157.6786,1105.578,,
1600.0,161.9859,1107.3068,,
1620.0,164.4071,1096.5463,,
1640.0,164.6434,1094.4786,,
1660.0,158.4386,1098.7978,,
1680.0,162.6709,1096.045,,
1700.0,159.8975,1100.2955,,
1720.0,162.1332,1098.8968,,
