<<<<<<< HEAD
SnappedTime,Avg Right X,Avg Right Y,Avg Left X,Avg Left Y
0.0,,,,
20.0,610.7045,483.0922,,
40.0,609.5101,481.1721,,
60.0,611.5206,482.2895,,
80.0,609.1432,489.1111,,
100.0,609.5812,479.158,,
120.0,608.2475,489.0902,,
140.0,608.4066,471.3171,,
160.0,605.2697,483.7251,,
180.0,607.2972,476.0791,,
200.0,604.6861,471.2836,,
220.0,604.1183,482.0875,,
240.0,604.0047,479.2077,,
260.0,603.2243,481.4714,,
280.0,603.5025,488.826,,
300.0,602.5947,481.163,,
320.0,603.2814,465.4228,,
340.0,602.5213,477.1629,,
360.0,601.8995,470.13,,
380.0,603.6676,485.2833,,
400.0,603.0119,473.8344,,
420.0,582.6804,478.8989,,
440.0,400.0874,486.3421,,
460.0,266.0919,502.1564,,
480.0,275.8441,510.299,,
500.0,277.3458,512.9906,,
520.0,280.4483,513.0217,,
540.0,277.7698,516.7005,,
560.0,271.8009,518.4191,,
580.0,282.8045,516.6244,,
600.0,283.4714,518.7943,,
620.0,276.8763,524.3224,,
640.0,282.5512,525.4151,,
660.0,287.5488,526.7167,,
680.0,546.4372,521.3227,,
700.0,823.0594,460.9215,,
720.0,881.9538,462.6807,,
740.0,892.3739,488.8792,,
760.0,889.6221,465.5557,,
780.0,892.96,465.3798,,
800.0,891.7439,457.7077,,
820.0,893.054,479.5922,,
840.0,891.7765,468.6631,,
860.0,903.5243,494.6265,,
880.0,936.7997,632.008,,
900.0,953.7328,627.528,,
920.0,972.7384,624.5633,,
940.0,963.5876,621.2287,,
960.0,967.8132,619.0054,,
980.0,960.6049,624.5611,,
1000.0,972.6393,622.3425,,
1020.0,956.9523,623.216,,
1040.0,968.0169,625.3364,,
1060.0,970.854,626.3782,,
1080.0,970.8266,627.0842,,
1100.0,769.3115,623.6714,,
1120.0,450.573,627.0917,,
1140.0,220.4604,638.9743,,
1160.0,218.2993,637.2274,,
1180.0,217.2058,646.8535,,
1200.0,216.5146,638.0737,,
1220.0,207.3796,638.5111,,
1240.0,203.6245,642.7899,,
1260.0,200.4123,643.8743,,
1280.0,191.43,643.9883,,
1300.0,193.2657,648.1493,,
1320.0,193.705,650.6518,,
1340.0,194.5476,654.0061,,
1360.0,196.1396,654.3366,,
1380.0,191.8813,651.4233,,
1400.0,193.8825,639.6008,,
1420.0,189.0888,378.6973,,
1440.0,189.5617,390.8178,,
1460.0,189.7216,390.9022,,
1480.0,190.3208,390.9299,,
1500.0,188.9955,407.6323,,
1520.0,188.3576,406.1701,,
1540.0,188.5131,409.5703,,
1560.0,191.4222,399.9402,,
1580.0,195.7357,411.2699,,
1600.0,189.0529,415.5074,,
1620.0,185.1422,406.0647,,
1640.0,190.7008,412.2661,,
1660.0,191.9223,408.9889,,
1680.0,188.0987,412.797,,
1700.0,194.1435,412.4631,,
1720.0,189.2706,413.1133,,
1740.0,190.7639,409.1955,,
1760.0,196.5917,408.3462,,
1780.0,195.8803,413.6689,,
1800.0,194.1455,420.9885,,
1820.0,189.4405,409.1628,,
1840.0,192.0302,414.5684,,
1860.0,195.956,415.5043,,
1880.0,198.8266,425.5538,,
1900.0,202.2509,426.6214,,
1920.0,197.5066,422.0669,,
1940.0,200.8435,422.6284,,
1960.0,157.2334,420.2896,,
1980.0,-2.3563,445.7927,,
2000.0,-26.7892,486.6837,,
2020.0,-45.6427,465.8644,,
2040.0,-48.1248,476.266,,
2060.0,-43.1371,471.6708,,
2080.0,-43.4179,471.7534,,
2100.0,-41.5056,478.8168,,
2120.0,-44.9227,478.8956,,
2140.0,-42.7526,480.7869,,
2160.0,-35.6525,488.2013,,
2180.0,-32.1981,494.2973,,
2200.0,-43.8604,484.4952,,
2220.0,-45.4466,486.1346,,
2240.0,-42.4474,495.508,,
2260.0,-43.2518,495.7415,,
2280.0,-47.7188,498.6666,,
2300.0,-48.0055,503.5105,,
2320.0,-46.578,506.8652,,
2340.0,-44.8113,504.2987,,
2360.0,-46.2639,508.7558,,
2380.0,-46.5829,510.689,,
2400.0,-45.9827,512.4834,,
2420.0,-35.3401,517.7267,,
2440.0,-45.0712,518.2924,,
2460.0,-41.4421,515.7742,,
2480.0,-35.8561,516.499,,
2500.0,-33.8902,515.5719,,
2520.0,-28.1619,517.6225,,
2540.0,100.6148,497.5448,,
2560.0,248.4861,469.6117,,
2580.0,258.3601,443.5754,,
2600.0,278.2227,449.4194,,
2620.0,257.4929,435.0288,,
2640.0,265.6848,432.0345,,
2660.0,268.1836,431.4761,,
2680.0,269.9092,436.0382,,
2700.0,269.133,424.0342,,
2720.0,270.668,431.8085,,
2740.0,270.0169,432.1428,,
2760.0,269.8637,423.8432,,
2780.0,276.3853,430.2648,,
2800.0,276.0304,428.5119,,
2820.0,276.4175,433.4862,,
2840.0,260.0978,436.7101,,
2860.0,195.5667,435.5209,,
2880.0,193.1737,442.2097,,
2900.0,204.721,448.1687,,
2920.0,207.1942,447.1112,,
2940.0,199.0628,446.6027,,
2960.0,200.4603,447.9185,,
2980.0,202.3781,447.9077,,
3000.0,211.8683,457.566,,
3020.0,206.5339,456.7197,,
3040.0,205.1153,459.5418,,
3060.0,200.3754,459.2351,,
3080.0,199.5335,457.9273,,
3100.0,197.9399,454.2684,,
3120.0,197.79,452.5608,,
3140.0,193.1745,450.6418,,
3160.0,194.7177,452.9842,,
3180.0,196.0312,453.338,,
3200.0,194.7668,457.1116,,
3220.0,191.2148,444.4544,,
3240.0,190.39,447.0774,,
3260.0,189.3195,446.6754,,
3280.0,187.4631,440.1014,,
3300.0,189.2011,432.7175,,
3320.0,395.091,445.624,,
3340.0,660.5881,437.012,,
3360.0,863.6414,427.7637,,
3380.0,859.2904,420.3093,,
3400.0,864.4559,418.3501,,
3420.0,869.081,413.1071,,
3440.0,860.5256,405.1719,,
3460.0,859.8977,409.8383,,
3480.0,860.8936,409.3927,,
3500.0,862.0518,407.0737,,
3520.0,864.325,411.0938,,
3540.0,867.3256,406.854,,
3560.0,1035.8455,406.276,,
3580.0,1145.839,441.5506,,
3600.0,1169.2777,466.253,,
3620.0,1194.9857,460.6001,,
3640.0,1199.795,460.6173,,
3660.0,1182.298,473.3079,,
3680.0,1193.8582,476.3305,,
3700.0,1192.9151,468.9879,,
3720.0,1199.1914,466.6138,,
3740.0,1196.3837,465.8327,,
3760.0,1184.271,464.6594,,
3780.0,1086.6272,462.3361,,
3800.0,1069.0888,452.9973,,
3820.0,1066.4004,436.8022,,
3840.0,1066.6568,439.9506,,
3860.0,1064.8955,437.9918,,
3880.0,1069.5452,434.4578,,
3900.0,1068.5994,436.157,,
3920.0,1066.836,432.2055,,
3940.0,1064.9688,428.3486,,
3960.0,1022.4542,618.2403,,
3980.0,995.1385,690.4297,,
4000.0,984.1262,689.895,,
4020.0,990.8153,671.1244,,
4040.0,980.61,692.3413,,
4060.0,979.6175,689.8458,,
4080.0,980.5238,691.4676,,
4100.0,969.6398,693.9348,,
4120.0,966.4084,693.6053,,
4140.0,963.5404,695.8676,,
4160.0,966.6459,689.6323,,
4180.0,972.5845,691.3506,,
4200.0,971.2956,683.9946,,
4220.0,972.6271,687.2274,,
4240.0,966.4955,691.2244,,
4260.0,970.8496,686.3222,,
4280.0,973.4859,685.1082,,
4300.0,968.6583,691.0187,,
4320.0,967.8878,688.118,,
4340.0,980.9952,678.8819,,
4360.0,977.8991,678.4024,,
4380.0,973.1631,685.8854,,
4400.0,980.9275,676.7397,,
4420.0,1036.6777,475.4704,,
4440.0,1057.9169,386.2835,,
4460.0,1057.6158,362.2354,,
4480.0,1063.9747,361.9705,,
4500.0,1063.45,362.2865,,
4520.0,1069.302,363.8153,,
4540.0,1068.3313,365.0924,,
4560.0,1070.4515,370.6913,,
4580.0,1069.9511,361.5692,,
4600.0,1072.9894,362.6615,,
4620.0,1074.4141,365.805,,
4640.0,1073.6566,363.2003,,
4660.0,1071.1683,365.38,,
4680.0,1073.24,366.0075,,
4700.0,1070.0022,361.6832,,
4720.0,1072.7413,362.781,,
4740.0,1069.4018,357.1763,,
4760.0,1070.893,357.0531,,
4780.0,1072.4614,352.4596,,
4800.0,1070.5796,355.5436,,
4820.0,1062.9198,367.1483,,
4840.0,1068.0998,356.5843,,
4860.0,1063.6018,359.9032,,
4880.0,1036.8948,362.7501,,
4900.0,732.8764,451.0596,,
4920.0,440.8528,546.0884,,
4940.0,281.8564,604.4898,,
4960.0,232.5764,668.2317,,
5120.0,188.8538,544.6097,,
5140.0,203.5335,563.4016,,
5160.0,204.8624,570.603,,
5180.0,0.5566,0.0,,
5280.0,303.8362,533.5193,,
5300.0,314.4719,535.3654,,
5320.0,315.1801,542.8605,,
5340.0,319.8481,552.5957,,
5360.0,322.7656,530.4672,,
5380.0,322.7695,533.3866,,
5400.0,322.2438,533.6359,,
5420.0,327.0295,538.7492,,
5440.0,333.3491,544.2009,,
5460.0,331.4611,534.3864,,
5480.0,327.7712,534.5541,,
5500.0,328.5692,538.2362,,
5520.0,333.7999,545.2551,,
5540.0,333.5689,540.5407,,
5560.0,334.6651,544.7861,,
5580.0,327.0768,538.8056,,
5600.0,336.0865,535.3869,,
5620.0,331.877,533.1187,,
5640.0,330.832,531.1865,,
5660.0,329.4766,537.7884,,
5680.0,328.5623,530.2655,,
5700.0,328.7888,532.6879,,
5720.0,334.1763,536.9815,,
5740.0,317.3635,509.579,,
5760.0,247.5926,491.9292,,
5780.0,241.4523,467.8569,,
5800.0,240.6289,449.8018,,
5820.0,242.7482,448.4206,,
5840.0,241.0758,442.9982,,
5860.0,238.3619,442.6077,,
5880.0,242.7245,441.3014,,
5900.0,240.8865,451.0789,,
5920.0,239.5924,447.629,,
5940.0,239.9506,443.5557,,
5960.0,238.6476,442.6567,,
5980.0,238.1112,441.1655,,
=======
SnappedTime,Avg Right X,Avg Right Y,Avg Left X,Avg Left Y
0.0,,,0.0,0.0
20.0,610.7045,483.0922,0.0,0.0
40.0,609.5101,481.1721,0.0,0.0
60.0,611.5206,482.2895,0.0,0.0
80.0,609.1432,489.1111,0.0,0.0
100.0,609.5812,479.158,0.0,0.0
120.0,608.2475,489.0902,0.0,0.0
140.0,608.4066,471.3171,0.0,0.0
160.0,605.2697,483.7251,0.0,0.0
180.0,607.2972,476.0791,0.0,0.0
200.0,604.6861,471.2836,0.0,0.0
220.0,604.1183,482.0875,0.0,0.0
240.0,604.0047,479.2077,0.0,0.0
260.0,603.2243,481.4714,0.0,0.0
280.0,603.5025,488.826,0.0,0.0
300.0,602.5947,481.163,0.0,0.0
320.0,603.2814,465.4228,0.0,0.0
340.0,602.5213,477.1629,0.0,0.0
360.0,601.8995,470.13,0.0,0.0
380.0,603.6676,485.2833,0.0,0.0
400.0,603.0119,473.8344,0.0,0.0
420.0,582.6804,478.8989,0.0,0.0
440.0,400.0874,486.3421,0.0,0.0
460.0,266.0919,502.1564,0.0,0.0
480.0,275.8441,510.299,0.0,0.0
500.0,277.3458,512.9906,0.0,0.0
520.0,280.4483,513.0217,0.0,0.0
540.0,277.7698,516.7005,0.0,0.0
560.0,271.8009,518.4191,0.0,0.0
580.0,282.8045,516.6244,0.0,0.0
600.0,283.4714,518.7943,0.0,0.0
620.0,276.8763,524.3224,0.0,0.0
640.0,282.5512,525.4151,0.0,0.0
660.0,287.5488,526.7167,0.0,0.0
680.0,546.4372,521.3227,0.0,0.0
700.0,823.0594,460.9215,0.0,0.0
720.0,881.9538,462.6807,0.0,0.0
740.0,892.3739,488.8792,0.0,0.0
760.0,889.6221,465.5557,0.0,0.0
780.0,892.96,465.3798,0.0,0.0
