SnappedTime,Avg Right X,Avg Right Y,Avg Left X,Avg Left Y
0.0,,,,
20.0,195.4959,435.6954,,
40.0,193.837,434.5732,,
60.0,194.1841,432.1391,,
80.0,196.3384,434.8266,,
100.0,195.2606,437.178,,
120.0,195.9495,436.5654,,
140.0,193.8203,437.1978,,
160.0,194.3374,437.7606,,
180.0,194.9516,439.0014,,
200.0,194.267,437.4293,,
220.0,195.1826,441.2189,,
240.0,200.9028,449.7047,,
260.0,342.5156,452.3781,,
280.0,523.7473,447.2347,,
300.0,539.6402,461.4199,,
320.0,545.3655,458.6118,,
340.0,548.5023,479.1716,,
360.0,553.1984,486.5259,,
380.0,544.8483,467.8691,,
400.0,542.1717,467.1607,,
420.0,548.9651,475.9147,,
440.0,548.4603,480.1083,,
460.0,599.9314,485.3321,,
480.0,632.2215,491.3808,,
500.0,627.3741,488.5472,,
520.0,628.1057,485.8972,,
540.0,634.1178,488.7734,,
560.0,636.5098,490.5352,,
580.0,633.58,493.7613,,
600.0,633.064,496.557,,
620.0,634.0794,498.1433,,
640.0,635.6986,504.0923,,
660.0,636.1238,507.5916,,
680.0,638.9766,508.2547,,
700.0,648.1914,706.3557,,
840.0,629.8414,448.5692,,
860.0,619.0664,450.1234,,
880.0,627.6728,448.9035,,
900.0,620.8015,445.8896,,
920.0,619.913,447.4933,,
940.0,622.2785,444.2041,,
960.0,620.9098,444.6992,,
980.0,620.0532,442.0157,,
1000.0,618.6856,440.5533,,
1020.0,616.6256,429.6032,,
1040.0,616.6624,438.6567,,
1060.0,618.1274,440.4899,,
1080.0,618.2342,438.9881,,
1100.0,627.8221,467.5392,,
1120.0,628.3251,456.4903,,
1140.0,633.5443,470.1575,,
1160.0,637.812,474.6734,,
1180.0,645.6803,473.8718,,
1200.0,639.8474,471.0103,,
1220.0,642.6764,468.9549,,
1240.0,640.8447,471.7983,,
1260.0,644.4463,473.5948,,
1280.0,646.1836,473.3345,,
1300.0,648.2197,480.3739,,
1320.0,648.4019,477.6562,,
1340.0,646.3739,479.9209,,
1360.0,640.9824,475.4044,,
1380.0,639.7664,479.8424,,
1400.0,636.56,475.0302,,
1420.0,633.7285,482.1279,,
1440.0,631.0931,482.2527,,
1460.0,627.8163,479.0365,,
1480.0,625.2354,479.9702,,
1500.0,627.9243,477.7061,,
1520.0,628.6731,476.9577,,
1540.0,623.2391,475.4097,,
1560.0,623.792,474.893,,
1580.0,629.7448,473.7398,,
1600.0,628.72,473.8226,,
1620.0,633.4201,474.7465,,
1640.0,634.4114,473.1024,,
1660.0,635.838,477.2857,,
1680.0,695.6005,467.7786,,
1700.0,751.5685,449.327,,
1720.0,777.1999,465.6716,,
1740.0,778.1872,455.7575,,
1760.0,780.168,433.5333,,
1780.0,788.6083,437.717,,
1800.0,791.1088,447.7293,,
1820.0,788.7662,437.6652,,
1840.0,670.8105,410.4237,,
1860.0,452.8724,394.2785,,
1880.0,427.5614,388.9902,,
1900.0,425.8846,362.9333,,
1920.0,423.1998,362.5339,,
1940.0,416.9285,360.001,,
1960.0,409.5151,335.1693,,
1980.0,412.8191,350.3285,,
2000.0,405.1617,347.5907,,
2020.0,403.739,350.786,,
2040.0,407.0624,342.0088,,
2060.0,410.8487,342.4663,,
2080.0,402.835,335.5154,,
2100.0,409.3828,341.6661,,
2120.0,404.6731,343.4684,,
2140.0,405.3282,343.73,,
2160.0,414.603,335.6433,,
2180.0,414.2204,335.5228,,
2200.0,422.2181,308.0759,,
2220.0,429.1794,331.6066,,
2240.0,433.9784,327.806,,
2260.0,440.6014,329.1041,,
2280.0,441.5533,316.977,,
2300.0,442.2064,323.8944,,
2320.0,442.9457,323.1247,,
2340.0,441.0956,319.7083,,
2360.0,440.7235,317.2135,,
2380.0,443.775,315.0368,,
2400.0,445.8911,316.4013,,
2420.0,443.457,315.9424,,
2440.0,443.4872,318.6097,,
2460.0,446.819,328.7756,,
2480.0,442.6143,317.2114,,
2500.0,446.2637,332.7104,,
2520.0,451.066,325.0739,,
2540.0,462.4102,368.1915,,
2560.0,461.4242,331.6606,,
2580.0,466.5032,338.5247,,
2600.0,474.3077,353.3993,,
2620.0,475.5917,365.38,,
2640.0,477.4155,362.9373,,
2660.0,482.0929,370.6687,,
2680.0,477.6227,370.9109,,
2700.0,481.6401,371.2256,,
2720.0,479.9628,372.0636,,
2740.0,481.5046,377.0891,,
2760.0,681.0616,378.7838,,
2780.0,979.5055,376.1048,,
2800.0,1189.0488,389.1006,,
2820.0,1178.6443,409.7453,,
2840.0,1180.0601,407.6077,,
2860.0,1182.7431,413.4375,,
2880.0,1182.6611,408.6619,,
2900.0,1189.3553,416.6297,,
2920.0,1191.1526,420.3086,,
2940.0,1192.6177,376.1326,,
2960.0,1189.6279,422.4743,,
2980.0,1189.8151,424.4964,,
3000.0,1189.4471,424.1409,,
3020.0,1190.2236,418.5093,,
3040.0,1006.9753,362.6169,,
3060.0,677.6851,375.6946,,
3080.0,418.84,346.2007,,
3100.0,405.6873,347.5476,,
3120.0,403.0362,349.8542,,
3140.0,397.1773,358.57,,
3160.0,399.1201,346.6977,,
3180.0,395.5015,341.3745,,
3200.0,394.8787,348.547,,
3220.0,392.8829,355.7772,,
3240.0,393.2626,346.0492,,
3260.0,394.6319,343.8906,,
3280.0,394.3961,344.8774,,
3300.0,392.7686,347.6032,,
3320.0,391.832,346.526,,
3340.0,389.3247,346.8496,,
3360.0,389.7037,345.8418,,
3380.0,387.8011,346.3239,,
3400.0,388.365,346.7903,,
3420.0,388.5692,343.569,,
3440.0,380.4298,342.7513,,
3460.0,372.2303,342.7632,,
3480.0,361.4909,342.1437,,
3500.0,364.5678,341.5188,,
3520.0,357.5088,339.471,,
3540.0,346.6218,337.3272,,
3560.0,355.7153,337.313,,
3580.0,356.3338,335.4501,,
3600.0,351.4971,334.1719,,
3620.0,349.0099,336.5202,,
3640.0,350.5783,337.755,,
3660.0,349.5971,340.2845,,
3680.0,348.9502,340.0789,,
3700.0,349.039,337.2586,,
3720.0,344.5353,333.7201,,
3740.0,348.1169,339.9793,,
3760.0,348.829,335.5229,,
3780.0,347.1847,332.9608,,
3800.0,346.4497,337.4595,,
3820.0,347.123,334.9913,,
3840.0,342.901,328.3541,,
3860.0,343.4814,328.4097,,
3880.0,343.7891,330.364,,
3900.0,342.3804,326.0465,,
3920.0,344.7264,330.0215,,
3940.0,347.5817,326.6075,,
3960.0,345.7088,333.2038,,
3980.0,500.1426,332.9579,,
4000.0,734.173,334.4869,,
4020.0,783.0579,341.7127,,
4040.0,796.1746,341.2216,,
4060.0,785.8204,343.2038,,
4080.0,791.5443,346.2663,,
4100.0,792.1532,352.8482,,
4120.0,793.1743,349.9159,,
4140.0,793.6275,351.9927,,
4160.0,796.2197,349.8869,,
4180.0,792.9191,360.5278,,
4200.0,554.5211,360.5043,,
4220.0,272.0155,369.9323,,
4240.0,236.3474,388.8289,,
4260.0,224.0991,393.3903,,
4280.0,226.5302,393.3938,,
4300.0,226.1653,389.7425,,
4320.0,223.3534,388.9093,,
4340.0,227.9645,391.0141,,
4360.0,234.2857,392.8855,,
4380.0,230.5236,392.8838,,
4400.0,235.2459,397.2988,,
4420.0,240.9582,402.578,,
4440.0,260.0425,411.3769,,
4460.0,586.5955,607.7015,,
4480.0,747.5415,638.3909,,
4500.0,741.1046,655.2182,,
4520.0,743.7006,653.7682,,
4540.0,740.0814,682.6709,,
4560.0,741.613,668.7969,,
4580.0,743.0234,672.2173,,
4600.0,744.1625,670.4711,,
4620.0,746.7503,681.3524,,
4640.0,746.1314,673.8581,,
4660.0,746.2047,671.6076,,
4680.0,746.9142,678.4557,,
4700.0,748.1736,675.6442,,
4720.0,747.2988,674.249,,
4740.0,745.6994,677.4334,,
4760.0,747.115,676.9989,,
4780.0,487.5169,553.5419,,
4800.0,307.7052,523.0127,,
4820.0,294.0129,503.0067,,
4840.0,294.667,505.7043,,
4860.0,289.0056,496.9588,,
4880.0,294.4301,504.4287,,
4900.0,294.6256,506.3494,,
4920.0,295.0701,500.7553,,
4940.0,295.3162,499.151,,
4960.0,294.9418,499.3977,,
4980.0,299.5656,504.1795,,
5000.0,298.0446,500.9768,,
5020.0,298.1415,499.8588,,
5040.0,299.5883,498.3815,,
5060.0,300.2548,497.7954,,
5080.0,375.1134,509.8622,,
5100.0,563.0867,592.4499,,
5120.0,641.0879,618.3257,,
5140.0,649.1982,657.0116,,
5160.0,643.1691,653.4887,,
5180.0,644.7413,668.2438,,
5200.0,637.7486,661.9185,,
5220.0,638.1544,667.0185,,
5240.0,636.702,666.6688,,
5260.0,639.7832,654.2619,,
5280.0,635.7183,667.3248,,
5300.0,641.5358,662.1585,,
5320.0,643.8572,655.3544,,
5340.0,646.9473,658.4112,,
5360.0,639.2595,659.562,,
5380.0,523.0466,537.436,,
5400.0,419.8895,505.8698,,
5420.0,421.4114,504.3424,,
5440.0,433.09,508.4208,,
5460.0,430.7868,512.485,,
5480.0,427.6783,501.5013,,
5500.0,428.7539,504.7409,,
5520.0,429.42,500.9974,,
5540.0,427.7137,499.691,,
5560.0,427.951,497.0747,,
5580.0,427.2163,497.0975,,
5600.0,426.5451,495.337,,
5620.0,426.3773,496.0307,,
5640.0,424.5902,494.6963,,
5660.0,422.3318,493.3565,,
5680.0,422.6304,492.8469,,
5700.0,425.7045,494.9662,,
5720.0,425.9499,496.5032,,
5740.0,421.9179,502.0832,,
5760.0,423.8789,504.2991,,
5780.0,425.9425,513.477,,
5800.0,427.1387,520.9447,,
