SnappedTime,Avg Right X,Avg Right Y,Avg Left X,Avg Left Y
0.0,,,,
20.0,1347.8104,412.053,,
40.0,1342.6558,414.181,,
60.0,1327.6996,421.3684,,
80.0,1347.5502,419.4978,,
100.0,1350.4945,423.2272,,
120.0,1350.426,427.2786,,
140.0,1339.9175,428.3445,,
160.0,1343.2532,425.8508,,
180.0,1344.3219,426.4445,,
200.0,1343.1745,428.2218,,
220.0,1339.3701,430.1584,,
240.0,1341.3757,429.5253,,
260.0,1318.4091,426.0544,,
280.0,993.0417,459.6745,,
300.0,741.189,461.5898,,
320.0,718.8951,490.1777,,
340.0,717.8485,488.6118,,
360.0,726.8909,485.5105,,
380.0,728.6128,492.4315,,
400.0,725.6211,499.0442,,
420.0,724.8286,504.0697,,
440.0,723.6309,506.3722,,
460.0,722.5093,501.5331,,
480.0,723.0477,503.0203,,
500.0,721.7023,500.0311,,
520.0,721.4943,501.3313,,
540.0,926.5278,491.3999,,
560.0,1225.1122,426.1569,,
580.0,1347.379,398.6977,,
600.0,1350.3828,395.577,,
620.0,1347.8567,395.6769,,
640.0,1344.8239,397.9667,,
660.0,1347.9281,403.6113,,
680.0,1346.1749,403.3864,,
700.0,1348.7308,397.1676,,
720.0,1349.4587,395.5578,,
740.0,1345.3183,409.6712,,
760.0,1345.7555,399.3983,,
780.0,1341.5781,404.8747,,
800.0,1344.1291,401.6195,,
820.0,1337.0089,409.6425,,
840.0,1337.7985,412.2255,,
860.0,1338.0004,422.261,,
980.0,1207.2841,396.1844,,
1000.0,1190.3285,406.6455,,
1020.0,1189.5745,404.4976,,
1040.0,1197.8423,391.8217,,
1060.0,1189.0147,394.7788,,
1080.0,1197.1872,389.699,,
1100.0,1191.5778,385.2474,,
1120.0,1201.8125,384.0231,,
1140.0,1202.7282,384.6289,,
1160.0,1196.5871,387.3915,,
1180.0,1205.692,380.6198,,
1200.0,1196.5109,387.2116,,
1220.0,1204.1889,383.8038,,
1240.0,1200.7873,383.3697,,
1260.0,1205.6433,381.0142,,
1280.0,1195.8791,380.0123,,
1300.0,1206.5932,382.4809,,
1320.0,1184.978,385.1121,,
1340.0,888.824,428.26,,
1360.0,717.4641,495.0183,,
1380.0,697.3158,505.0958,,
1400.0,705.2755,504.8477,,
1420.0,706.0146,502.2958,,
1440.0,703.2987,483.9847,,
1460.0,702.91,479.5366,,
1480.0,700.2926,508.1942,,
1500.0,698.0587,505.7657,,
1520.0,697.9584,495.8956,,
1540.0,699.6308,490.9879,,
1560.0,698.8437,504.3226,,
1580.0,695.7643,494.2442,,
1600.0,696.6513,501.9855,,
1620.0,695.2813,500.7723,,
1640.0,694.0992,502.3727,,
