<<<<<<< HEAD
SnappedTime,Avg Right X,Avg Right Y,Avg Left X,Avg Left Y
0.0,,,,
20.0,637.3697,536.2491,,
40.0,632.9466,550.7706,,
60.0,634.6426,546.1541,,
80.0,629.7841,540.0095,,
100.0,631.7677,547.2372,,
120.0,630.3619,545.7213,,
140.0,631.8394,541.7874,,
160.0,631.3783,548.8841,,
180.0,630.3048,541.2628,,
200.0,629.6852,541.7575,,
220.0,628.6456,542.2042,,
240.0,627.0053,546.3978,,
260.0,626.2212,538.4827,,
280.0,624.5359,537.8246,,
300.0,627.5858,551.318,,
320.0,704.0739,523.1965,,
340.0,828.2594,496.4285,,
360.0,829.5961,500.8627,,
380.0,828.7115,489.7594,,
400.0,829.5651,486.363,,
420.0,830.9163,470.835,,
440.0,834.415,488.5782,,
460.0,834.1878,467.8247,,
480.0,832.5579,471.3348,,
500.0,830.2765,468.1904,,
520.0,538.9737,471.4514,,
540.0,321.1574,479.6264,,
560.0,299.6726,472.2003,,
580.0,302.8448,464.0388,,
600.0,305.2713,464.3732,,
620.0,298.6616,460.1679,,
640.0,300.4771,462.5956,,
660.0,301.6349,468.0066,,
680.0,298.7353,464.6056,,
700.0,298.7729,465.0337,,
720.0,297.3303,457.9114,,
740.0,299.313,457.5762,,
760.0,297.9348,459.9786,,
780.0,298.2943,459.6809,,
800.0,297.4304,447.2044,,
820.0,339.2383,462.8756,,
840.0,683.4553,462.2238,,
860.0,951.5366,451.3732,,
880.0,1019.4617,447.521,,
900.0,1023.3132,444.2967,,
920.0,1041.8002,442.8532,,
940.0,1035.7513,444.3474,,
960.0,1035.8748,432.8571,,
980.0,1042.9721,436.6392,,
1000.0,1051.0662,429.8555,,
1020.0,1037.2081,432.5043,,
1040.0,1033.8074,447.3859,,
1060.0,1039.5464,434.8416,,
1080.0,1038.9108,437.6346,,
1100.0,982.2222,612.9334,,
1120.0,985.1286,629.4552,,
1140.0,999.4309,620.9015,,
1160.0,1006.6734,422.3615,,
1180.0,988.4301,631.1781,,
1200.0,985.9783,665.1991,,
1220.0,978.7384,627.272,,
1240.0,782.4198,625.3692,,
1260.0,658.2029,421.7849,,
1280.0,322.6798,611.802,,
1300.0,122.7987,706.9209,,
1320.0,277.6346,616.6607,,
1340.0,266.4913,600.898,,
1360.0,183.9365,691.5661,,
1380.0,252.6976,590.5073,,
1400.0,245.6725,586.4102,,
1420.0,253.6313,588.811,,
1440.0,248.5221,589.0955,,
1460.0,244.81,577.4541,,
1480.0,255.7621,585.1462,,
1500.0,237.8849,576.3526,,
1520.0,254.5992,595.8966,,
1540.0,258.8104,643.9685,,
1560.0,256.5164,635.4521,,
1580.0,251.7664,625.5508,,
1600.0,254.5772,648.1717,,
1620.0,265.6987,639.137,,
1640.0,261.7105,639.5575,,
1660.0,260.9061,639.8767,,
1680.0,267.4315,634.1159,,
1700.0,263.9701,642.9499,,
1720.0,267.2882,643.0721,,
1740.0,266.4832,646.1949,,
1760.0,268.0928,644.4533,,
1780.0,265.4519,644.0542,,
1800.0,267.9137,642.8111,,
1820.0,270.3015,642.4149,,
1840.0,268.2122,643.3751,,
1860.0,270.8729,646.8232,,
1880.0,271.8528,644.461,,
1900.0,267.9123,638.9521,,
1920.0,264.546,646.4605,,
1940.0,272.2711,642.7592,,
1960.0,267.9664,646.597,,
1980.0,261.7751,642.4354,,
2000.0,269.6775,643.3621,,
2020.0,266.2073,647.0508,,
2040.0,265.1477,642.9665,,
2060.0,268.7811,641.8684,,
2080.0,268.9708,641.6287,,
2100.0,260.5564,638.0266,,
2120.0,266.3243,640.5324,,
2140.0,262.5698,637.0645,,
2160.0,261.8176,638.0014,,
2180.0,265.4323,638.3267,,
2200.0,262.7941,637.3049,,
2220.0,266.4417,642.7108,,
2240.0,258.477,634.3653,,
2260.0,269.1235,637.4493,,
2280.0,263.64,641.2582,,
2300.0,259.9175,634.3167,,
2320.0,262.053,640.2675,,
2340.0,260.657,644.16,,
2360.0,263.213,641.894,,
2380.0,265.8727,643.5462,,
2400.0,265.9323,641.2486,,
2420.0,263.5424,647.0023,,
2440.0,266.9206,645.3692,,
2460.0,260.6416,644.2971,,
2480.0,265.1918,640.7182,,
2500.0,265.6642,648.7559,,
2520.0,269.7437,651.9687,,
2540.0,266.3169,646.5651,,
2560.0,270.3051,644.3575,,
2580.0,268.3961,644.18,,
2600.0,265.9639,642.7342,,
2620.0,265.8323,643.2167,,
2640.0,267.2629,649.2117,,
2660.0,269.2508,621.4251,,
2680.0,296.8351,504.5177,,
2700.0,342.5411,455.5164,,
2720.0,364.0409,460.2368,,
2740.0,349.7961,455.2205,,
2760.0,359.3051,456.7284,,
2780.0,361.4615,448.6501,,
2800.0,359.3754,445.3352,,
2820.0,358.9602,446.337,,
2840.0,362.7247,445.8608,,
