SnappedTime,Avg Right X,Avg Right Y,Avg Left X,Avg Left Y
0.0,40.2529,671.307,40.2529,671.307
20.0,39.8215,667.9366,39.8215,667.9366
40.0,39.9247,657.8399,39.9247,657.8399
60.0,43.3819,529.2518,43.3819,529.2518
80.0,45.8613,538.1481,45.8613,538.1481
140.0,30.7803,654.653,30.7803,654.653
160.0,17.7372,663.5184,17.7372,663.5184
180.0,41.1813,627.6559,41.1813,627.6559
200.0,39.9784,682.7223,39.9784,682.7223
240.0,39.521,595.6605,39.521,595.6605
260.0,41.8974,600.1148,41.8974,600.1148
280.0,47.0329,603.8688,47.0329,603.8688
300.0,47.3339,606.6765,47.3339,606.6765
320.0,54.0061,599.4033,54.0061,599.4033
340.0,242.2637,566.6458,242.2637,566.6458
360.0,373.6773,533.05,373.6773,533.05
380.0,376.7431,525.2259,376.7431,525.2259
400.0,376.6229,515.0399,376.6229,515.0399
420.0,377.7009,523.8467,377.7009,523.8467
440.0,377.4035,513.0405,377.4035,513.0405
460.0,377.2221,513.2539,377.2221,513.2539
480.0,377.3903,520.7496,377.3903,520.7496
500.0,375.0331,508.0598,375.0331,508.0598
520.0,422.103,484.9501,422.103,484.9501
540.0,587.807,347.8063,587.807,347.8063
560.0,609.615,348.2899,609.615,348.2899
580.0,611.93,334.0945,611.93,334.0945
600.0,610.3048,344.3578,610.3048,344.3578
620.0,611.1857,356.8729,611.1857,356.8729
640.0,610.9447,336.3386,610.9447,336.3386
660.0,610.281,339.5114,610.281,339.5114
680.0,610.87,339.1877,610.87,339.1877
700.0,617.5629,173.4623,617.5629,173.4623
720.0,638.1912,97.9674,638.1912,97.9674
740.0,646.1593,35.5855,646.1593,35.5855
760.0,656.6128,108.869,656.6128,108.869
780.0,669.09,328.1805,669.09,328.1805
800.0,651.3413,150.7709,651.3413,150.7709
820.0,665.2192,76.57,665.2192,76.57
840.0,643.6899,347.817,643.6899,347.817
860.0,661.6856,44.103,661.6856,44.103
880.0,663.0556,47.3394,663.0556,47.3394
900.0,662.5501,131.3608,662.5501,131.3608
920.0,665.3149,37.2092,665.3149,37.2092
940.0,664.4733,57.2204,664.4733,57.2204
960.0,663.4959,36.048,663.4959,36.048
980.0,661.9586,46.6744,661.9586,46.6744
1000.0,662.2793,152.6305,662.2793,152.6305
1020.0,657.256,402.5491,657.256,402.5491
1040.0,658.9374,138.8441,658.9374,138.8441
1060.0,661.8342,159.5184,661.8342,159.5184
1080.0,637.1183,539.2908,637.1183,539.2908
1100.0,658.8836,175.9174,658.8836,175.9174
1120.0,660.8579,103.759,660.8579,103.759
1140.0,667.0644,414.1824,667.0644,414.1824
1160.0,669.6434,427.4209,669.6434,427.4209
1180.0,673.543,431.4184,673.543,431.4184
1200.0,670.7707,438.3635,670.7707,438.3635
1220.0,669.5435,440.2811,669.5435,440.2811
1240.0,674.8809,434.8048,674.8809,434.8048
1280.0,675.1957,437.5899,675.1957,437.5899
1300.0,681.6402,436.6688,681.6402,436.6688
1320.0,770.8351,457.0208,770.8351,457.0208
1340.0,780.0611,446.341,780.0611,446.341
1360.0,781.5058,448.2998,781.5058,448.2998
1380.0,781.6292,454.2849,781.6292,454.2849
1400.0,786.8247,448.2833,786.8247,448.2833
1420.0,785.1042,448.0742,785.1042,448.0742
1440.0,787.3765,452.3087,787.3765,452.3087
1480.0,784.692,454.6637,784.692,454.6637
1520.0,784.8429,455.8037,784.8429,455.8037
1560.0,785.4812,451.8304,785.4812,451.8304
1580.0,590.7462,438.315,590.7462,438.315
1620.0,566.9443,428.1692,566.9443,428.1692
1660.0,550.1857,434.6514,550.1857,434.6514
1680.0,439.6945,305.5455,439.6945,305.5455
1700.0,556.6722,446.0861,556.6722,446.0861
1740.0,557.3504,443.4623,557.3504,443.4623
1760.0,559.3461,434.3987,559.3461,434.3987
1800.0,593.9962,264.1942,593.9962,264.1942
1820.0,686.8612,145.1734,686.8612,145.1734
1860.0,692.726,103.0383,692.726,103.0383
1900.0,693.3993,8.5756,693.3993,8.5756
1920.0,694.1322,17.1015,694.1322,17.1015
1960.0,689.7862,589.0725,689.7862,589.0725
1980.0,691.6501,73.5373,691.6501,73.5373
2000.0,687.1423,82.3124,687.1423,82.3124
2020.0,687.075,1.6272,687.075,1.6272
2040.0,685.5347,-3.2758,685.5347,-3.2758
2060.0,695.6047,140.7764,695.6047,140.7764
2080.0,686.7871,12.0044,686.7871,12.0044
2100.0,681.046,33.7396,681.046,33.7396
2120.0,681.5978,7.5882,681.5978,7.5882
2140.0,677.8177,85.8511,677.8177,85.8511
2160.0,673.5028,-1.1644,673.5028,-1.1644
2180.0,673.5259,33.3649,673.5259,33.3649
2200.0,671.3117,24.4585,671.3117,24.4585
2220.0,671.0832,21.4713,671.0832,21.4713
2240.0,669.7524,21.8572,669.7524,21.8572
2260.0,668.7484,28.3461,668.7484,28.3461
2280.0,669.4262,18.0649,669.4262,18.0649
2300.0,668.6716,41.7156,668.6716,41.7156
2320.0,669.0312,66.2463,669.0312,66.2463
2340.0,669.0912,44.2792,669.0912,44.2792
2360.0,669.2127,50.3676,669.2127,50.3676
2380.0,671.1124,30.3886,671.1124,30.3886
2400.0,671.0078,54.3616,671.0078,54.3616
2420.0,671.6435,34.6833,671.6435,34.6833
2440.0,671.3789,34.9338,671.3789,34.9338
2460.0,643.3741,287.6133,643.3741,287.6133
2480.0,629.6371,367.6014,629.6371,367.6014
2500.0,619.0637,383.0644,619.0637,383.0644
2520.0,614.3305,385.1318,614.3305,385.1318
2540.0,611.2742,380.6599,611.2742,380.6599
2560.0,609.3682,376.907,609.3682,376.907
2580.0,605.7905,378.109,605.7905,378.109
2600.0,605.7146,372.0076,605.7146,372.0076
2620.0,350.1769,497.3422,350.1769,497.3422
2660.0,606.3299,357.7806,606.3299,357.7806
2680.0,605.8698,365.418,605.8698,365.418
2700.0,605.1061,367.8039,605.1061,367.8039
2720.0,603.197,359.7017,603.197,359.7017
2760.0,604.3622,366.6107,604.3622,366.6107
2780.0,607.367,332.0278,607.367,332.0278
2800.0,670.8462,129.3227,670.8462,129.3227
2820.0,596.3228,656.7707,596.3228,656.7707
2860.0,679.3122,120.7384,679.3122,120.7384
2880.0,687.9248,110.7683,687.9248,110.7683
