SnappedTime,Avg Right X,Avg Right Y,Avg Left X,Avg Left Y
0.0,0.0,0.0,0.0,0.0
40.0,0.0,0.0,0.0,0.0
80.0,0.0,0.0,0.0,0.0
140.0,0.0,0.0,0.0,0.0
180.0,0.0,0.0,0.0,0.0
220.0,0.0,0.0,0.0,0.0
260.0,0.0,0.0,0.0,0.0
300.0,0.0,0.0,0.0,0.0
360.0,0.0,0.0,0.0,0.0
400.0,0.0,0.0,0.0,0.0
440.0,0.0,0.0,0.0,0.0
480.0,0.0,0.0,0.0,0.0
520.0,0.0,0.0,0.0,0.0
580.0,0.0,0.0,0.0,0.0
620.0,0.0,0.0,0.0,0.0
660.0,0.0,0.0,0.0,0.0
700.0,0.0,0.0,0.0,0.0
740.0,0.0,0.0,0.0,0.0
800.0,0.0,0.0,0.0,0.0
840.0,0.0,0.0,0.0,0.0
880.0,0.0,0.0,0.0,0.0
920.0,0.0,0.0,0.0,0.0
960.0,0.0,0.0,0.0,0.0
1020.0,0.0,0.0,0.0,0.0
1060.0,0.0,0.0,0.0,0.0
1100.0,0.0,0.0,0.0,0.0
1140.0,0.0,0.0,0.0,0.0
1180.0,0.0,0.0,0.0,0.0
1240.0,0.0,0.0,0.0,0.0
1280.0,0.0,0.0,0.0,0.0
1320.0,0.0,0.0,0.0,0.0
1360.0,0.0,0.0,0.0,0.0
1400.0,0.0,0.0,0.0,0.0
1460.0,0.0,0.0,0.0,0.0
1480.0,0.2585,556.8634,0.2585,556.8634
1500.0,-2.00055,274.81425,-2.00055,274.81425
1520.0,-0.9924,551.9219,-0.9924,551.9219
1540.0,-37.337,295.1732,-37.337,295.1732
1560.0,-1.4408,0.0,-1.4408,0.0
1580.0,-0.7086,0.0,-0.7086,0.0
1600.0,-1.3869,0.0,-1.3869,0.0
1620.0,-0.67515,0.0,-0.67515,0.0
1640.0,-1.3082,0.0,-1.3082,0.0
1660.0,-1.261,0.0,-1.261,0.0
1680.0,-0.6048,0.0,-0.6048,0.0
1700.0,-1.3754,0.0,-1.3754,0.0
1720.0,0.10695,0.0,0.10695,0.0
1740.0,-0.0976,0.0,-0.0976,0.0
1760.0,0.0,0.0,0.0,0.0
1780.0,146.3491,566.4243,146.3491,566.4243
1800.0,219.51125,254.2155,219.51125,254.2155
1820.0,564.4756,478.9072,564.4756,478.9072
1840.0,281.2589,251.7858,281.2589,251.7858
1860.0,563.5285,502.2617,563.5285,502.2617
1880.0,567.7085,500.7239,567.7085,500.7239
1900.0,285.0839,245.521,285.0839,245.521
1920.0,571.982,485.9278,571.982,485.9278
1940.0,285.79885,244.92575,285.79885,244.92575
1960.0,570.6985,477.8371,570.6985,477.8371
1980.0,244.4819,222.85845,244.4819,222.85845
2000.0,467.4381,422.9216,467.4381,422.9216
2020.0,237.3487,200.78445,237.3487,200.78445
2040.0,464.2537,391.6068,464.2537,391.6068
2060.0,223.68035,189.2462,223.68035,189.2462
2080.0,458.9907,392.1669,458.9907,392.1669
2100.0,453.6259,387.4308,453.6259,387.4308
2120.0,228.85945,199.9755,228.85945,199.9755
2140.0,452.585,384.408,452.585,384.408
2160.0,219.1891,186.07455,219.1891,186.07455
2180.0,454.0134,391.9815,454.0134,391.9815
2200.0,183.55985,171.83625,183.55985,171.83625
2220.0,450.9947,383.4213,450.9947,383.4213
2240.0,226.4057,193.0786,226.4057,193.0786
2260.0,452.1589,403.3105,452.1589,403.3105
2280.0,456.6028,389.6357,456.6028,389.6357
2300.0,229.1292,196.8063,229.1292,196.8063
2320.0,456.3313,388.8953,456.3313,388.8953
2340.0,228.53465,194.3027,228.53465,194.3027
2360.0,459.8759,399.9851,459.8759,399.9851
2380.0,229.5429,196.30285,229.5429,196.30285
2400.0,459.7502,401.2992,459.7502,401.2992
2420.0,228.91525,198.8498,228.91525,198.8498
2440.0,459.2302,401.6233,459.2302,401.6233
2460.0,229.2935,198.9672,229.2935,198.9672
2480.0,457.5934,400.0859,457.5934,400.0859
2500.0,456.6247,401.348,456.6247,401.348
2520.0,228.00365,200.67035,228.00365,200.67035
2540.0,459.5785,404.8861,459.5785,404.8861
2560.0,235.3848,203.7233,235.3848,203.7233
2580.0,486.1675,406.6809,486.1675,406.6809
2600.0,239.64635,203.8588,239.64635,203.8588
2620.0,474.3678,406.6559,474.3678,406.6559
2640.0,240.01575,203.95805,240.01575,203.95805
2660.0,477.3488,407.2347,477.3488,407.2347
2680.0,240.0937,204.4898,240.0937,204.4898
2700.0,487.8962,413.8178,487.8962,413.8178
2720.0,487.3172,411.2214,487.3172,411.2214
2740.0,244.74575,207.62635,244.74575,207.62635
2760.0,491.8736,413.6951,491.8736,413.6951
2780.0,246.057,201.0889,246.057,201.0889
