SnappedTime,Avg Right X,Avg Right Y,Avg Left X,Avg Left Y
260.0,374.0548,683.2049,374.0548,683.2049
280.0,556.3701,557.8001,556.3701,557.8001
300.0,612.2954,547.9185,612.2954,547.9185
320.0,609.2385,550.826,609.2385,550.826
340.0,607.9821,541.4473,607.9821,541.4473
360.0,620.6689,492.3716,620.6689,492.3716
380.0,608.7118,520.4375,608.7118,520.4375
400.0,613.1225,514.5688,613.1225,514.5688
500.0,628.4093,487.3487,628.4093,487.3487
520.0,629.4709,490.6349,629.4709,490.6349
540.0,627.3976,490.7109,627.3976,490.7109
560.0,634.8012,491.4982,634.8012,491.4982
580.0,640.3022,492.9202,640.3022,492.9202
600.0,639.0909,495.077,639.0909,495.077
620.0,643.1122,486.5976,643.1122,486.5976
640.0,643.9944,493.4048,643.9944,493.4048
660.0,644.2897,486.9694,644.2897,486.9694
680.0,641.7394,489.7298,641.7394,489.7298
700.0,642.7428,482.0831,642.7428,482.0831
720.0,641.8941,475.0901,641.8941,475.0901
740.0,643.3346,452.6982,643.3346,452.6982
760.0,645.7743,479.7423,645.7743,479.7423
780.0,641.2366,404.7046,641.2366,404.7046
900.0,643.1486,487.2117,643.1486,487.2117
920.0,644.1564,495.1193,644.1564,495.1193
940.0,650.5388,506.3745,650.5388,506.3745
960.0,648.9058,512.8807,648.9058,512.8807
980.0,648.5578,512.7622,648.5578,512.7622
1000.0,648.7444,522.7206,648.7444,522.7206
1140.0,654.9512,532.36,654.9512,532.36
1160.0,655.7723,501.0282,655.7723,501.0282
1180.0,657.8698,506.2433,657.8698,506.2433
1200.0,657.3587,527.3678,657.3587,527.3678
1220.0,656.5994,524.6604,656.5994,524.6604
1240.0,652.3766,532.4305,652.3766,532.4305
1260.0,655.7987,534.7572,655.7987,534.7572
1280.0,658.3385,531.2291,658.3385,531.2291
1300.0,653.8628,537.9649,653.8628,537.9649
1320.0,653.1945,536.295,653.1945,536.295
1340.0,653.3726,539.0772,653.3726,539.0772
1360.0,651.9209,539.2813,651.9209,539.2813
1380.0,652.0495,538.6417,652.0495,538.6417
1400.0,651.102,537.3699,651.102,537.3699
1420.0,652.7178,536.9662,652.7178,536.9662
1440.0,650.5273,531.8735,650.5273,531.8735
1460.0,651.381,534.6161,651.381,534.6161
1480.0,651.92,534.966,651.92,534.966
1500.0,652.51,535.1993,652.51,535.1993
1520.0,652.3549,533.3285,652.3549,533.3285
1540.0,652.0441,526.7678,652.0441,526.7678
1560.0,717.7721,591.3149,717.7721,591.3149
1580.0,819.8138,750.2704,819.8138,750.2704
1600.0,954.5672,964.5797,954.5672,964.5797
1620.0,979.5546,1083.9125,979.5546,1083.9125
1640.0,978.3464,1091.3607,978.3464,1091.3607
1660.0,977.8886,1101.4149,977.8886,1101.4149
1680.0,980.0037,1104.2906,980.0037,1104.2906
1700.0,981.8039,1110.5206,981.8039,1110.5206
1720.0,984.4417,1110.243,984.4417,1110.243
1740.0,992.6743,1111.4311,992.6743,1111.4311
1760.0,990.1932,1108.7168,990.1932,1108.7168
1780.0,979.1796,1111.1263,979.1796,1111.1263
1800.0,927.1851,947.2204,927.1851,947.2204
1820.0,827.8948,703.9404,827.8948,703.9404
1840.0,768.2209,611.0068,768.2209,611.0068
1860.0,757.2829,636.8698,757.2829,636.8698
1880.0,763.071,633.8983,763.071,633.8983
1900.0,765.5693,636.1217,765.5693,636.1217
1920.0,762.2102,605.6725,762.2102,605.6725
1940.0,762.909,624.0915,762.909,624.0915
1960.0,761.9279,642.5043,761.9279,642.5043
1980.0,762.5532,640.908,762.5532,640.908
2000.0,872.6668,622.8257,872.6668,622.8257
2020.0,867.0688,614.3238,867.0688,614.3238
2040.0,871.8955,613.9847,871.8955,613.9847
2060.0,870.2961,607.6449,870.2961,607.6449
2080.0,868.9418,602.709,868.9418,602.709
2100.0,866.6996,596.4805,866.6996,596.4805
2120.0,866.4825,598.6111,866.4825,598.6111
2140.0,860.6246,614.2053,860.6246,614.2053
2160.0,858.4977,599.291,858.4977,599.291
2180.0,859.9291,598.8418,859.9291,598.8418
2200.0,860.3,599.528,860.3,599.528
2220.0,863.6578,595.388,863.6578,595.388
2240.0,861.8942,597.8571,861.8942,597.8571
2260.0,861.4824,596.5549,861.4824,596.5549
2280.0,862.0408,594.5093,862.0408,594.5093
2300.0,861.8837,593.3839,861.8837,593.3839
2320.0,863.0397,595.3855,863.0397,595.3855
2340.0,861.823,590.3105,861.823,590.3105
2360.0,864.9873,587.4838,864.9873,587.4838
2380.0,867.1325,581.5865,867.1325,581.5865
2400.0,865.7137,584.303,865.7137,584.303
2420.0,865.6841,586.8184,865.6841,586.8184
2440.0,865.0114,582.5612,865.0114,582.5612
2460.0,864.8351,583.2055,864.8351,583.2055
2480.0,864.6001,583.9482,864.6001,583.9482
2500.0,864.9875,584.1504,864.9875,584.1504
2520.0,864.8808,589.4129,864.8808,589.4129
2540.0,863.9978,591.8292,863.9978,591.8292
2560.0,864.1231,595.8629,864.1231,595.8629
2580.0,862.4705,600.5615,862.4705,600.5615
2600.0,859.8407,596.7844,859.8407,596.7844
2620.0,859.2049,593.9397,859.2049,593.9397
2640.0,856.3675,582.6329,856.3675,582.6329
2660.0,851.9605,521.6263,851.9605,521.6263
2680.0,844.414,524.8111,844.414,524.8111
2700.0,843.5259,536.3063,843.5259,536.3063
2720.0,840.1754,511.5134,840.1754,511.5134
2740.0,837.308,515.5478,837.308,515.5478
2760.0,835.6547,522.1044,835.6547,522.1044
2780.0,833.3415,522.9928,833.3415,522.9928
2800.0,833.0654,520.362,833.0654,520.362
2820.0,831.0476,514.9438,831.0476,514.9438
2840.0,830.0028,517.9245,830.0028,517.9245
2860.0,829.1267,517.6642,829.1267,517.6642
2880.0,827.8206,521.051,827.8206,521.051
2900.0,828.2375,517.2032,828.2375,517.2032
2920.0,826.9531,516.1158,826.9531,516.1158
2940.0,827.1733,517.2078,827.1733,517.2078
2960.0,827.3803,518.4082,827.3803,518.4082
2980.0,826.7358,519.1271,826.7358,519.1271
3000.0,825.7596,518.5249,825.7596,518.5249
3020.0,824.8766,519.3698,824.8766,519.3698
3040.0,825.0761,515.4756,825.0761,515.4756
3060.0,822.7687,518.4142,822.7687,518.4142
3080.0,821.6985,517.4691,821.6985,517.4691
3100.0,822.7768,519.1348,822.7768,519.1348
3120.0,823.5157,516.6934,823.5157,516.6934
3140.0,826.05,518.6959,826.05,518.6959
3160.0,795.8177,515.8409,795.8177,515.8409
3180.0,801.0861,517.9597,801.0861,517.9597
3200.0,788.7498,514.9892,788.7498,514.9892
3220.0,788.7858,512.0914,788.7858,512.0914
3240.0,774.4541,511.7908,774.4541,511.7908
3260.0,774.2486,513.8631,774.2486,513.8631
3280.0,770.5359,515.4205,770.5359,515.4205
3300.0,768.3119,515.3155,768.3119,515.3155
3320.0,768.3904,513.9206,768.3904,513.9206
3340.0,765.4929,516.5776,765.4929,516.5776
3360.0,768.1291,518.7335,768.1291,518.7335
3380.0,768.3626,513.9131,768.3626,513.9131
3400.0,767.777,508.8004,767.777,508.8004
3420.0,772.4575,516.4603,772.4575,516.4603
3440.0,770.6521,514.3186,770.6521,514.3186
3460.0,772.9208,518.3216,772.9208,518.3216
3480.0,774.4091,521.445,774.4091,521.445
3500.0,777.3184,516.1948,777.3184,516.1948
3520.0,780.176,520.2313,780.176,520.2313
3540.0,780.914,517.9037,780.914,517.9037
3560.0,780.4903,521.5439,780.4903,521.5439
3580.0,780.1597,515.9682,780.1597,515.9682
