<<<<<<< HEAD
SnappedTime,Avg Right X,Avg Right Y,Avg Left X,Avg Left Y
0.0,,,,
20.0,891.4069,446.6862,891.4069,446.6862
40.0,891.3805,429.0724,891.3805,429.0724
60.0,892.2994,442.9095,892.2994,442.9095
80.0,897.5536,400.9888,897.5536,400.9888
100.0,893.5496,443.8176,893.5496,443.8176
120.0,897.8527,495.1405,897.8527,495.1405
140.0,901.3386,458.3607,901.3386,458.3607
160.0,902.4882,508.5603,902.4882,508.5603
180.0,897.5872,512.4885,897.5872,512.4885
200.0,897.0027,466.904,897.0027,466.904
220.0,893.1586,474.1738,893.1586,474.1738
240.0,889.1693,486.1277,889.1693,486.1277
260.0,867.6888,507.3712,867.6888,507.3712
280.0,659.9384,336.506,659.9384,336.506
300.0,626.4215,334.4357,626.4215,334.4357
320.0,622.0512,438.7728,622.0512,438.7728
340.0,617.9837,408.0217,617.9837,408.0217
360.0,606.1557,440.4286,606.1557,440.4286
380.0,605.4254,416.4189,605.4254,416.4189
400.0,608.0679,400.1599,608.0679,400.1599
420.0,606.0797,365.7458,606.0797,365.7458
440.0,605.6966,405.2486,605.6966,405.2486
460.0,607.3115,402.848,607.3115,402.848
480.0,609.0625,399.3761,609.0625,399.3761
500.0,608.866,419.1394,608.866,419.1394
520.0,605.8691,427.2081,605.8691,427.2081
540.0,605.5495,396.8862,605.5495,396.8862
560.0,606.8385,422.4963,606.8385,422.4963
580.0,604.256,406.4286,604.256,406.4286
600.0,504.3556,424.9554,504.3556,424.9554
620.0,598.908,565.7005,598.908,565.7005
640.0,0.0,1.1709,0.0,1.1709
660.0,402.56,266.4737,402.56,266.4737
680.0,391.058,254.5186,391.058,254.5186
700.0,483.9107,382.2225,483.9107,382.2225
720.0,383.3645,-3.3313,383.3645,-3.3313
740.0,394.895,305.73,394.895,305.73
760.0,403.8748,16.3798,403.8748,16.3798
780.0,396.0478,385.63,396.0478,385.63
800.0,1142.4017,749.0183,1142.4017,749.0183
820.0,0.0,0.0482,0.0,0.0482
840.0,0.10805,0.03575,0.10805,0.03575
860.0,0.0,0.05015,0.0,0.05015
880.0,0.0,0.05265,0.0,0.05265
900.0,0.0,0.05365,0.0,0.05365
920.0,0.0,0.0538,0.0,0.0538
940.0,0.0,0.955,0.0,0.955
960.0,0.0,0.8148,0.0,0.8148
980.0,0.0,0.0,0.0,0.0
1000.0,0.0,0.0,0.0,0.0
1020.0,0.0,0.0,0.0,0.0
1040.0,0.0,0.0,0.0,0.0
1060.0,0.0,0.0,0.0,0.0
1080.0,0.0,0.0,0.0,0.0
1100.0,0.0,0.0,0.0,0.0
1120.0,0.0,0.0,0.0,0.0
1140.0,0.0,0.0,0.0,0.0
1160.0,0.0,0.0,0.0,0.0
1180.0,0.0,0.0,0.0,0.0
1200.0,0.0,0.0,0.0,0.0
1220.0,0.0,0.0,0.0,0.0
